departamento,anio_min,anio_max,cantidad_ev,cantidad_ev_modelada,consumo_energetico,demanda_futura,total_infraestructura,latitud_infra_promedio,longitud_infra_promedio,total_generacion_hidraulica,total_generacion_solar,total_generacion_termica,total_activos_hidraulicos,capacidad_hidraulica_total,latitud_hidraulica_promedio,longitud_hidraulica_promedio,latitud,longitud,criterio_demanda,criterio_crecimiento_ev,criterio_soporte_generacion,criterio_soporte_hidraulico,criterio_cobertura_hidraulica,indice_prioridad_territorial,ranking_prioridad,categoria_prioridad,anio_escenario
CAUCA,2052,2052,0.0,12.886666666666667,2679.610615384615,940.9190769230769,0.0,0.0,0.0,0.0,0.0,0.0,12.0,319.0,0.0,0.0,,,0.01706085465872444,0.014225035042263095,0.0,0.10190260794009788,0.16666666666666666,0.03471057690051672,13,BAJA,2052
CORDOBA,2052,2052,0.0,11.673333333333334,2501.739,665.8798499999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,338.0,0.0,0.0,,,0.012064849530621306,0.012678927919126707,0.0,0.10797204226881844,0.013888888888888888,0.025519868972753747,14,BAJA,2052
BOYACA,2052,2052,0.0,13.37,2849.8513333333335,1119.5994999999998,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,,,0.020306530993589984,0.014840929363292699,0.0,0.0003194439120379244,0.041666666666666664,0.014706141126562825,15,BAJA,2052
NORTE DE SANTANDER,2052,2052,0.0,14.483333333333334,3743.4908095238097,1347.0711571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.024438485472583902,0.016259610075181584,0.0,0.0,0.0,0.014653277211588036,16,BAJA,2052
QUINDIO,2052,2052,0.0,11.606666666666666,3007.2506666666663,689.4926666666665,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,,0.012493769268636056,0.012593976978295035,0.0,0.0,0.05555555555555555,0.011553478578720713,17,BAJA,2052
"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA",2052,2052,0.0,6.22,2484.624333333333,691.0124999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.012521376585643675,0.005729940959096121,0.0,0.0,0.0,0.006727532921986306,18,BAJA,2052
NARINO,2052,2052,0.0,4.03,1317.1063333333336,366.02459999999996,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,0.006618068780660759,0.002939302552775772,0.0,0.0,0.027777777777777776,0.004917907166985924,19,BAJA,2052
CASANARE,2052,2052,0.0,6.136666666666667,242.71516666666662,185.93104999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.00334672341875011,0.005623752283056535,0.0,0.0,0.0,0.003025815052417004,20,BAJA,2052
MAGDALENA,2052,2052,0.0,5.51,117.07666666666667,164.8052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0029629786848941785,0.004825213439238839,0.0,0.0,0.0,0.002632755505729323,21,BAJA,2052
CAQUETA,2052,2052,0.0,4.48,15.680000000000001,4.953600000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.9322278243322966e-05,0.0035127214033895426,0.0,0.0,0.0,0.001077545332314192,22,BAJA,2052
GUAINIA,2052,2052,0.0,2.2533333333333334,8.224666666666666,2.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.5389134095089482e-05,0.0006753599796117742,0.0,0.0,0.0,0.00020876364752156807,23,BAJA,2052
CESAR,2052,2052,0.0,1.8533333333333333,6.95,2.4464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.3779741648412276e-05,0.0001656543346217558,0.0,0.0,0.0,5.520819704589165e-05,24,BAJA,2052
CHOCO,2052,2052,0.0,1.7766666666666666,6.484833333333333,2.3452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.1941473977941249e-05,6.796075266533564e-05,0.0,0.0,0.0,2.5164815390777188e-05,25,BAJA,2052
ARAUCA,2052,2052,0.0,1.74,5.742,1.6877999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.1237735207917353e-05,0.0,0.0,0.0,6.371320562375206e-06,26,BAJA,2052
AMAZONAS,2052,2052,0.0,1.7233333333333334,4.136,2.1714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,8.784449065610573e-06,0.0,0.0,0.0,0.0,3.5137796262442294e-06,27,BAJA,2052
