anio,departamento,tipo_vehiculo,cantidad_ev,kwh_promedio,potencia_carga,consumo_wh_km,anio_base,horizonte_anios,cantidad_ev_pred,cantidad_ev_modelada,fuente_cantidad_ev,simultaneidad,consumo_energetico,demanda_futura,consumo_energetico_kwh,demanda_futura_kw
2011,VALLE DEL CAUCA,MOTOCICLETA,2.0,3.8,3.45,28.0,,,,2.0,historico,0.3,7.6,2.07,7.6,2.07
2012,ANTIOQUIA,AUTOMOVIL,10.0,66.05,137.55,145.1,,,,10.0,historico,0.3,660.5,412.65,660.5,412.65
2012,ANTIOQUIA,MOTOCICLETA,47.0,3.5,3.529787234042553,32.340425531914896,,,,47.0,historico,0.3,164.5,49.77,164.5,49.77
2012,BOGOTA D.C.,AUTOMOVIL,19.0,64.23157894736842,147.54736842105262,146.78947368421052,,,,19.0,historico,0.3,1220.3999999999999,841.0199999999999,1220.3999999999999,841.0199999999999
2012,BOGOTA D.C.,MOTOCICLETA,38.0,3.35,3.418421052631579,32.5,,,,38.0,historico,0.3,127.3,38.97,127.3,38.97
2012,CAQUETA,MOTOCICLETA,1.0,2.2,2.6,35.0,,,,1.0,historico,0.3,2.2,0.78,2.2,0.78
2012,CHOCO,MOTOCICLETA,4.0,3.55,2.525,37.75,,,,4.0,historico,0.3,14.2,3.03,14.2,3.03
2012,CUNDINAMARCA,CAMIONETA,1.0,713.2,617.8,865.0,,,,1.0,historico,0.3,713.2,185.33999999999997,713.2,185.33999999999997
2012,MAGDALENA,MOTOCICLETA,1.0,4.3,4.4,28.0,,,,1.0,historico,0.3,4.3,1.32,4.3,1.32
2012,META,MOTOCICLETA,2.0,3.4,3.4,36.5,,,,2.0,historico,0.3,6.8,2.04,6.8,2.04
2012,SANTANDER,MOTOCICLETA,2.0,3.3,4.2,34.0,,,,2.0,historico,0.3,6.6,2.52,6.6,2.52
2012,VALLE DEL CAUCA,AUTOMOVIL,2.0,60.25,153.95,163.0,,,,2.0,historico,0.3,120.5,92.36999999999999,120.5,92.36999999999999
2012,VALLE DEL CAUCA,MOTOCICLETA,23.0,3.3347826086956522,3.5608695652173914,32.17391304347826,,,,23.0,historico,0.3,76.7,24.57,76.7,24.57
2013,ANTIOQUIA,CAMIONETA,3.0,793.6333333333333,667.8000000000001,1138.3333333333333,,,,3.0,historico,0.3,2380.9,601.02,2380.9,601.02
2013,ANTIOQUIA,CUATRIMOTO,1.0,2.5,2.5,38.0,,,,1.0,historico,0.3,2.5,0.75,2.5,0.75
2013,ANTIOQUIA,MOTOCICLETA,54.0,3.464814814814815,3.5129629629629626,32.27777777777778,,,,54.0,historico,0.3,187.1,56.91,187.1,56.91
2013,BOGOTA D.C.,AUTOMOVIL,44.0,62.24318181818182,155.06363636363636,146.29545454545453,,,,44.0,historico,0.3,2738.7,2046.84,2738.7,2046.84
2013,BOGOTA D.C.,BUS,1.0,444.8,243.0,977.0,,,,1.0,historico,0.3,444.8,72.89999999999999,444.8,72.89999999999999
2013,BOGOTA D.C.,MOTOCICLETA,174.0,3.4522988505747128,3.549425287356322,32.6551724137931,,,,174.0,historico,0.3,600.7,185.28,600.7,185.28
2013,BOGOTA D.C.,MOTOTRICICLO,1.0,3.5,4.9,39.0,,,,1.0,historico,0.3,3.5,1.47,3.5,1.47
2013,CAQUETA,MOTOCICLETA,1.0,3.7,3.5,37.0,,,,1.0,historico,0.3,3.7,1.05,3.7,1.05
2013,CHOCO,MOTOCICLETA,2.0,3.65,4.4,34.5,,,,2.0,historico,0.3,7.3,2.64,7.3,2.64
2013,CORDOBA,MOTOCICLETA,1.0,3.4,4.9,28.0,,,,1.0,historico,0.3,3.4,1.47,3.4,1.47
2013,CUNDINAMARCA,MOTOCICLETA,1.0,3.6,4.2,31.0,,,,1.0,historico,0.3,3.6,1.26,3.6,1.26
2013,META,MOTOCICLETA,1.0,2.0,4.1,28.0,,,,1.0,historico,0.3,2.0,1.2299999999999998,2.0,1.2299999999999998
2013,NORTE DE SANTANDER,MOTOCICLETA,5.0,3.44,3.3,33.8,,,,5.0,historico,0.3,17.2,4.95,17.2,4.95
2013,SANTANDER,MOTOCICLETA,1.0,4.6,3.2,33.0,,,,1.0,historico,0.3,4.6,0.96,4.6,0.96
2013,VALLE DEL CAUCA,AUTOMOVIL,2.0,54.75,226.8,156.0,,,,2.0,historico,0.3,109.5,136.08,109.5,136.08
2013,VALLE DEL CAUCA,MOTOCICLETA,8.0,4.1,3.8375,30.0,,,,8.0,historico,0.3,32.8,9.209999999999999,32.8,9.209999999999999
2014,ANTIOQUIA,CAMIONETA,7.0,717.4142857142857,645.2571428571429,1245.7142857142858,,,,7.0,historico,0.3,5021.9,1355.04,5021.9,1355.04
2014,ANTIOQUIA,MOTOCICLETA,70.0,3.4057142857142857,3.5085714285714285,32.97142857142857,,,,70.0,historico,0.3,238.4,73.67999999999999,238.4,73.67999999999999
2014,ATLANTICO,AUTOMOVIL,1.0,84.8,53.3,121.0,,,,1.0,historico,0.3,84.8,15.989999999999998,84.8,15.989999999999998
2014,BOGOTA D.C.,AUTOMOVIL,7.0,68.2,166.94285714285712,141.85714285714286,,,,7.0,historico,0.3,477.40000000000003,350.58,477.40000000000003,350.58
2014,BOGOTA D.C.,CAMIONETA,2.0,600.25,544.05,1241.0,,,,2.0,historico,0.3,1200.5,326.42999999999995,1200.5,326.42999999999995
2014,BOGOTA D.C.,MOTOCARRO,1.0,3.8,4.1,25.0,,,,1.0,historico,0.3,3.8,1.2299999999999998,3.8,1.2299999999999998
2014,BOGOTA D.C.,MOTOCICLETA,54.0,3.4592592592592593,3.2796296296296297,32.22222222222222,,,,54.0,historico,0.3,186.8,53.129999999999995,186.8,53.129999999999995
2014,CASANARE,MOTOCICLETA,2.0,2.6500000000000004,3.5,25.0,,,,2.0,historico,0.3,5.300000000000001,2.1,5.300000000000001,2.1
2014,CORDOBA,MOTOCICLETA,10.0,3.5200000000000005,3.7199999999999998,30.6,,,,10.0,historico,0.3,35.2,11.159999999999998,35.2,11.159999999999998
2014,CUNDINAMARCA,CAMIONETA,2.0,607.0,678.9000000000001,1075.0,,,,2.0,historico,0.3,1214.0,407.34000000000003,1214.0,407.34000000000003
2014,CUNDINAMARCA,MOTOCICLETA,1.0,2.6,2.2,29.0,,,,1.0,historico,0.3,2.6,0.66,2.6,0.66
2014,HUILA,MOTOCICLETA,10.0,3.8600000000000003,3.34,32.5,,,,10.0,historico,0.3,38.6,10.02,38.6,10.02
2014,META,MOTOCICLETA,9.0,3.8444444444444446,3.4555555555555557,34.0,,,,9.0,historico,0.3,34.6,9.33,34.6,9.33
2014,NORTE DE SANTANDER,MOTOCICLETA,6.0,3.516666666666667,3.5833333333333335,30.666666666666668,,,,6.0,historico,0.3,21.1,6.45,21.1,6.45
2014,RISARALDA,CAMIONETA,1.0,533.6,459.8,1026.0,,,,1.0,historico,0.3,533.6,137.94,533.6,137.94
2014,SANTANDER,MOTOCICLETA,33.0,3.381818181818182,3.4454545454545453,33.36363636363637,,,,33.0,historico,0.3,111.6,34.10999999999999,111.6,34.10999999999999
2014,VALLE DEL CAUCA,MOTOCICLETA,34.0,3.6088235294117648,3.4441176470588233,30.61764705882353,,,,34.0,historico,0.3,122.7,35.129999999999995,122.7,35.129999999999995
2015,ANTIOQUIA,AUTOMOVIL,40.0,65.9025,147.90249999999997,146.975,,,,40.0,historico,0.3,2636.1000000000004,1774.8299999999995,2636.1000000000004,1774.8299999999995
2015,ANTIOQUIA,MOTOCICLETA,85.0,3.4858823529411764,3.7247058823529415,31.941176470588236,,,,85.0,historico,0.3,296.3,94.98,296.3,94.98
2015,ARAUCA,MOTOCICLETA,3.0,3.3000000000000003,3.233333333333333,35.666666666666664,,,,3.0,historico,0.3,9.9,2.9099999999999997,9.9,2.9099999999999997
2015,ATLANTICO,AUTOMOVIL,2.0,72.25,178.85,167.5,,,,2.0,historico,0.3,144.5,107.30999999999999,144.5,107.30999999999999
2015,BOGOTA D.C.,AUTOMOVIL,106.0,60.53962264150943,147.61698113207547,147.30188679245282,,,,106.0,historico,0.3,6417.2,4694.219999999999,6417.2,4694.219999999999
2015,BOGOTA D.C.,BUS,1.0,311.9,261.1,916.0,,,,1.0,historico,0.3,311.9,78.33,311.9,78.33
2015,BOGOTA D.C.,CAMIONETA,13.0,740.323076923077,611.5692307692308,1166.076923076923,,,,13.0,historico,0.3,9624.2,2385.12,9624.2,2385.12
2015,BOGOTA D.C.,MOTOCICLETA,68.0,3.463235294117647,3.4794117647058824,33.1764705882353,,,,68.0,historico,0.3,235.5,70.97999999999999,235.5,70.97999999999999
2015,BOLIVAR,AUTOMOVIL,3.0,70.2,101.23333333333333,128.33333333333334,,,,3.0,historico,0.3,210.60000000000002,91.11,210.60000000000002,91.11
2015,CALDAS,AUTOMOVIL,5.0,56.94,126.96,151.6,,,,5.0,historico,0.3,284.7,190.43999999999997,284.7,190.43999999999997
2015,CAQUETA,MOTOCICLETA,7.0,3.5,3.685714285714286,33.42857142857143,,,,7.0,historico,0.3,24.5,7.74,24.5,7.74
2015,CASANARE,MOTOCICLETA,1.0,4.6,2.9,30.0,,,,1.0,historico,0.3,4.6,0.87,4.6,0.87
2015,CAUCA,MOTOCICLETA,5.0,3.4,3.46,27.8,,,,5.0,historico,0.3,17.0,5.19,17.0,5.19
2015,CORDOBA,MOTOCICLETA,6.0,2.983333333333333,3.7000000000000006,33.166666666666664,,,,6.0,historico,0.3,17.9,6.660000000000001,17.9,6.660000000000001
2015,CUNDINAMARCA,AUTOMOVIL,1.0,81.6,223.2,159.0,,,,1.0,historico,0.3,81.6,66.96,81.6,66.96
2015,CUNDINAMARCA,CAMIONETA,7.0,720.0714285714286,605.8000000000001,1158.142857142857,,,,7.0,historico,0.3,5040.5,1272.18,5040.5,1272.18
2015,CUNDINAMARCA,CUATRIMOTO,1.0,3.6,4.7,37.0,,,,1.0,historico,0.3,3.6,1.41,3.6,1.41
2015,CUNDINAMARCA,MOTOCICLETA,10.0,3.44,3.25,31.7,,,,10.0,historico,0.3,34.4,9.75,34.4,9.75
2015,HUILA,AUTOMOVIL,1.0,71.9,51.8,112.0,,,,1.0,historico,0.3,71.9,15.54,71.9,15.54
2015,HUILA,MOTOCICLETA,5.0,3.5200000000000005,3.8,34.0,,,,5.0,historico,0.3,17.6,5.7,17.6,5.7
2015,MAGDALENA,AUTOMOVIL,1.0,42.2,218.7,150.0,,,,1.0,historico,0.3,42.2,65.61,42.2,65.61
2015,META,MOTOCICLETA,3.0,3.6666666666666665,3.0,36.0,,,,3.0,historico,0.3,11.0,2.6999999999999997,11.0,2.6999999999999997
2015,NARINO,MOTOCICLETA,1.0,2.9,4.7,28.0,,,,1.0,historico,0.3,2.9,1.41,2.9,1.41
2015,NORTE DE SANTANDER,AUTOMOVIL,1.0,66.8,56.7,125.0,,,,1.0,historico,0.3,66.8,17.01,66.8,17.01
2015,NORTE DE SANTANDER,MOTOCICLETA,2.0,3.9,3.3499999999999996,27.5,,,,2.0,historico,0.3,7.8,2.01,7.8,2.01
2015,QUINDIO,AUTOMOVIL,2.0,57.95,163.2,155.5,,,,2.0,historico,0.3,115.9,97.91999999999999,115.9,97.91999999999999
2015,RISARALDA,AUTOMOVIL,3.0,69.13333333333334,68.10000000000001,139.33333333333334,,,,3.0,historico,0.3,207.40000000000003,61.29,207.40000000000003,61.29
2015,RISARALDA,MOTOCICLETA,4.0,4.0,3.2,32.75,,,,4.0,historico,0.3,16.0,3.84,16.0,3.84
2015,SANTANDER,AUTOMOVIL,2.0,75.25,240.35000000000002,137.5,,,,2.0,historico,0.3,150.5,144.21,150.5,144.21
2015,SANTANDER,MOTOCICLETA,60.0,3.54,3.57,32.333333333333336,,,,60.0,historico,0.3,212.4,64.25999999999999,212.4,64.25999999999999
2015,VALLE DEL CAUCA,AUTOMOVIL,6.0,65.60000000000001,170.03333333333333,137.33333333333334,,,,6.0,historico,0.3,393.6,306.06,393.6,306.06
2015,VALLE DEL CAUCA,CAMIONETA,2.0,579.8499999999999,659.8,1001.0,,,,2.0,historico,0.3,1159.6999999999998,395.87999999999994,1159.6999999999998,395.87999999999994
2015,VALLE DEL CAUCA,MOTOCICLETA,51.0,3.588235294117647,3.4372549019607845,32.294117647058826,,,,51.0,historico,0.3,183.0,52.59,183.0,52.59
2016,ANTIOQUIA,AUTOMOVIL,53.0,61.68679245283019,158.6169811320755,143.22641509433961,,,,53.0,historico,0.3,3269.4,2522.01,3269.4,2522.01
2016,ANTIOQUIA,CAMIONETA,3.0,699.3666666666667,444.93333333333334,1196.6666666666667,,,,3.0,historico,0.3,2098.1,400.44,2098.1,400.44
2016,ANTIOQUIA,MOTOCICLETA,83.0,3.514457831325301,3.440963855421687,30.89156626506024,,,,83.0,historico,0.3,291.7,85.68,291.7,85.68
2016,BOGOTA D.C.,AUTOMOVIL,102.0,66.07058823529411,151.93333333333334,146.36274509803923,,,,102.0,historico,0.3,6739.199999999999,4649.16,6739.199999999999,4649.16
2016,BOGOTA D.C.,CAMIONETA,8.0,656.125,630.8125,1195.25,,,,8.0,historico,0.3,5249.0,1513.95,5249.0,1513.95
2016,BOGOTA D.C.,MOTOCICLETA,10.0,3.6,3.4899999999999998,31.1,,,,10.0,historico,0.3,36.0,10.469999999999999,36.0,10.469999999999999
2016,BOLIVAR,MOTOCICLETA,1.0,2.1,4.0,26.0,,,,1.0,historico,0.3,2.1,1.2,2.1,1.2
2016,BOYACA,AUTOMOVIL,1.0,75.0,223.1,160.0,,,,1.0,historico,0.3,75.0,66.92999999999999,75.0,66.92999999999999
2016,CALDAS,AUTOMOVIL,5.0,70.26,149.76,163.4,,,,5.0,historico,0.3,351.3,224.64,351.3,224.64
2016,CALDAS,MOTOCICLETA,2.0,3.8499999999999996,3.85,31.0,,,,2.0,historico,0.3,7.699999999999999,2.31,7.699999999999999,2.31
2016,CAUCA,MOTOCICLETA,1.0,2.7,4.8,33.0,,,,1.0,historico,0.3,2.7,1.44,2.7,1.44
2016,CUNDINAMARCA,AUTOMOVIL,8.0,60.099999999999994,164.825,148.75,,,,8.0,historico,0.3,480.79999999999995,395.58,480.79999999999995,395.58
2016,CUNDINAMARCA,CAMIONETA,2.0,762.2,704.1,1080.0,,,,2.0,historico,0.3,1524.4,422.46,1524.4,422.46
2016,CUNDINAMARCA,MOTOCARRO,66.0,3.553030303030303,3.5060606060606063,32.57575757575758,,,,66.0,historico,0.3,234.5,69.42,234.5,69.42
2016,HUILA,AUTOMOVIL,3.0,53.86666666666667,134.43333333333334,140.66666666666666,,,,3.0,historico,0.3,161.6,120.99,161.6,120.99
2016,HUILA,MOTOCICLETA,3.0,4.033333333333334,2.9333333333333336,38.0,,,,3.0,historico,0.3,12.100000000000001,2.64,12.100000000000001,2.64
2016,META,AUTOMOVIL,1.0,79.9,191.5,120.0,,,,1.0,historico,0.3,79.9,57.449999999999996,79.9,57.449999999999996
2016,META,MOTOCICLETA,2.0,3.6,4.15,35.5,,,,2.0,historico,0.3,7.2,2.49,7.2,2.49
2016,NARINO,MOTOCICLETA,1.0,4.0,3.9,40.0,,,,1.0,historico,0.3,4.0,1.17,4.0,1.17
2016,NORTE DE SANTANDER,MOTOCICLETA,4.0,2.45,4.0,30.5,,,,4.0,historico,0.3,9.8,4.8,9.8,4.8
2016,RISARALDA,AUTOMOVIL,2.0,57.349999999999994,195.15,151.0,,,,2.0,historico,0.3,114.69999999999999,117.09,114.69999999999999,117.09
2016,RISARALDA,CAMIONETA,1.0,742.3,379.2,1330.0,,,,1.0,historico,0.3,742.3,113.75999999999999,742.3,113.75999999999999
2016,RISARALDA,MOTOCICLETA,9.0,3.8444444444444446,3.4222222222222225,31.555555555555557,,,,9.0,historico,0.3,34.6,9.24,34.6,9.24
2016,SANTANDER,AUTOMOVIL,1.0,70.5,124.2,142.0,,,,1.0,historico,0.3,70.5,37.26,70.5,37.26
2016,SANTANDER,MOTOCICLETA,20.0,3.2649999999999997,3.2350000000000003,31.45,,,,20.0,historico,0.3,65.3,19.41,65.3,19.41
2016,TOLIMA,AUTOMOVIL,4.0,55.3,158.35,148.0,,,,4.0,historico,0.3,221.2,190.01999999999998,221.2,190.01999999999998
2016,TOLIMA,MOTOCICLETA,3.0,3.466666666666667,3.8000000000000003,34.333333333333336,,,,3.0,historico,0.3,10.4,3.42,10.4,3.42
2016,VALLE DEL CAUCA,AUTOMOVIL,5.0,71.03999999999999,164.45999999999998,140.8,,,,5.0,historico,0.3,355.19999999999993,246.68999999999997,355.19999999999993,246.68999999999997
2016,VALLE DEL CAUCA,CAMIONETA,4.0,633.8,559.125,902.0,,,,4.0,historico,0.3,2535.2,670.9499999999999,2535.2,670.9499999999999
2016,VALLE DEL CAUCA,MOTOCICLETA,23.0,3.8391304347826085,3.8347826086956522,33.65217391304348,,,,23.0,historico,0.3,88.3,26.46,88.3,26.46
2017,ANTIOQUIA,AUTOMOVIL,40.0,59.185,149.16500000000002,137.65,,,,40.0,historico,0.3,2367.4,1789.98,2367.4,1789.98
2017,ANTIOQUIA,BUS,1.0,285.0,297.3,1130.0,,,,1.0,historico,0.3,285.0,89.19,285.0,89.19
2017,ANTIOQUIA,CAMIONETA,11.0,702.790909090909,611.5181818181818,1107.090909090909,,,,11.0,historico,0.3,7730.7,2018.0099999999998,7730.7,2018.0099999999998
2017,ANTIOQUIA,CUADRICICLO,7.0,64.65714285714286,155.67142857142858,146.14285714285714,,,,7.0,historico,0.3,452.6,326.91,452.6,326.91
2017,ANTIOQUIA,MOTOCARRO,2.0,4.0,2.6500000000000004,29.5,,,,2.0,historico,0.3,8.0,1.59,8.0,1.59
2017,ANTIOQUIA,MOTOCICLETA,68.0,3.461764705882353,3.4250000000000003,33.5,,,,68.0,historico,0.3,235.4,69.87,235.4,69.87
2017,BOGOTA D.C.,AUTOMOVIL,53.0,63.590566037735854,151.92075471698112,146.0943396226415,,,,53.0,historico,0.3,3370.3,2415.5399999999995,3370.3,2415.5399999999995
2017,BOGOTA D.C.,BUS,1.0,345.4,276.0,1095.0,,,,1.0,historico,0.3,345.4,82.8,345.4,82.8
2017,BOGOTA D.C.,CAMIONETA,15.0,693.4133333333334,622.7800000000001,1100.2666666666667,,,,15.0,historico,0.3,10401.2,2802.51,10401.2,2802.51
2017,BOGOTA D.C.,CUADRICICLO,10.0,55.71,143.81,149.6,,,,10.0,historico,0.3,557.1,431.42999999999995,557.1,431.42999999999995
2017,BOGOTA D.C.,MOTOCICLETA,2.0,2.6500000000000004,4.0,32.5,,,,2.0,historico,0.3,5.300000000000001,2.4,5.300000000000001,2.4
2017,CALDAS,MOTOCICLETA,1.0,3.3,4.4,33.0,,,,1.0,historico,0.3,3.3,1.32,3.3,1.32
2017,CUNDINAMARCA,AUTOMOVIL,2.0,62.099999999999994,143.3,161.5,,,,2.0,historico,0.3,124.19999999999999,85.98,124.19999999999999,85.98
2017,CUNDINAMARCA,CAMIONETA,3.0,563.9666666666666,703.4333333333334,1066.3333333333333,,,,3.0,historico,0.3,1691.8999999999996,633.09,1691.8999999999996,633.09
2017,CUNDINAMARCA,CUADRICICLO,1.0,83.8,175.8,165.0,,,,1.0,historico,0.3,83.8,52.74,83.8,52.74
2017,HUILA,MOTOCICLETA,3.0,2.9,3.8333333333333335,31.0,,,,3.0,historico,0.3,8.7,3.4499999999999997,8.7,3.4499999999999997
2017,META,MOTOCICLETA,1.0,2.8,2.3,39.0,,,,1.0,historico,0.3,2.8,0.69,2.8,0.69
2017,NARINO,MOTOCICLETA,1.0,2.4,5.0,31.0,,,,1.0,historico,0.3,2.4,1.5,2.4,1.5
2017,NORTE DE SANTANDER,AUTOMOVIL,1.0,53.3,146.0,120.0,,,,1.0,historico,0.3,53.3,43.8,53.3,43.8
2017,NORTE DE SANTANDER,MOTOCICLETA,1.0,4.8,3.3,31.0,,,,1.0,historico,0.3,4.8,0.9899999999999999,4.8,0.9899999999999999
2017,RISARALDA,AUTOMOVIL,1.0,65.9,204.9,159.0,,,,1.0,historico,0.3,65.9,61.47,65.9,61.47
2017,RISARALDA,CUADRICICLO,2.0,60.7,165.35,128.0,,,,2.0,historico,0.3,121.4,99.21,121.4,99.21
2017,RISARALDA,MOTOCICLETA,2.0,4.25,4.199999999999999,32.5,,,,2.0,historico,0.3,8.5,2.5199999999999996,8.5,2.5199999999999996
2017,SANTANDER,MOTOCICLETA,3.0,3.6666666666666665,2.533333333333333,34.666666666666664,,,,3.0,historico,0.3,11.0,2.28,11.0,2.28
2017,VALLE DEL CAUCA,AUTOMOVIL,1.0,45.8,206.3,172.0,,,,1.0,historico,0.3,45.8,61.89,45.8,61.89
2017,VALLE DEL CAUCA,CUADRICICLO,1.0,74.5,246.0,159.0,,,,1.0,historico,0.3,74.5,73.8,74.5,73.8
2017,VALLE DEL CAUCA,MOTOCARRO,1.0,3.1,4.0,27.0,,,,1.0,historico,0.3,3.1,1.2,3.1,1.2
2017,VALLE DEL CAUCA,MOTOCICLETA,13.0,3.161538461538462,3.6923076923076925,32.15384615384615,,,,13.0,historico,0.3,41.1,14.399999999999999,41.1,14.399999999999999
2018,AMAZONAS,MOTOCICLETA,1.0,2.4,4.2,31.0,,,,1.0,historico,0.3,2.4,1.26,2.4,1.26
2018,ANTIOQUIA,AUTOMOVIL,83.0,60.16144578313253,145.13373493975905,147.9277108433735,,,,83.0,historico,0.3,4993.4,3613.8300000000004,4993.4,3613.8300000000004
2018,ANTIOQUIA,BUS,1.0,253.6,313.2,1271.0,,,,1.0,historico,0.3,253.6,93.96,253.6,93.96
2018,ANTIOQUIA,CAMION,9.0,719.4888888888888,574.7111111111111,1245.111111111111,,,,9.0,historico,0.3,6475.4,1551.7199999999998,6475.4,1551.7199999999998
2018,ANTIOQUIA,CAMIONETA,20.0,744.405,591.495,1160.35,,,,20.0,historico,0.3,14888.099999999999,3548.97,14888.099999999999,3548.97
2018,ANTIOQUIA,CUADRICICLO,41.0,66.69024390243902,151.31951219512194,147.9512195121951,,,,41.0,historico,0.3,2734.2999999999997,1861.2299999999998,2734.2999999999997,1861.2299999999998
2018,ANTIOQUIA,MOTOCARRO,6.0,3.4333333333333336,3.6,31.666666666666668,,,,6.0,historico,0.3,20.6,6.48,20.6,6.48
2018,ANTIOQUIA,MOTOCICLETA,21.0,3.338095238095238,3.538095238095238,32.333333333333336,,,,21.0,historico,0.3,70.1,22.29,70.1,22.29
2018,ATLANTICO,MOTOCICLETA,1.0,3.4,2.2,28.0,,,,1.0,historico,0.3,3.4,0.66,3.4,0.66
2018,BOGOTA D.C.,AUTOMOVIL,137.0,61.85620437956204,146.53065693430656,143.61313868613138,,,,137.0,historico,0.3,8474.3,6022.41,8474.3,6022.41
2018,BOGOTA D.C.,BUS,1.0,259.8,225.1,914.0,,,,1.0,historico,0.3,259.8,67.53,259.8,67.53
2018,BOGOTA D.C.,CAMIONETA,13.0,760.8307692307692,578.123076923077,1135.6153846153845,,,,13.0,historico,0.3,9890.8,2254.68,9890.8,2254.68
2018,BOGOTA D.C.,CUADRICICLO,60.0,61.715,143.835,143.56666666666666,,,,60.0,historico,0.3,3702.9,2589.03,3702.9,2589.03
2018,BOYACA,CAMIONETA,1.0,743.4,699.7,1339.0,,,,1.0,historico,0.3,743.4,209.91,743.4,209.91
2018,CALDAS,AUTOMOVIL,2.0,72.25,203.0,115.5,,,,2.0,historico,0.3,144.5,121.8,144.5,121.8
2018,CALDAS,BUS,1.0,331.9,222.4,1276.0,,,,1.0,historico,0.3,331.9,66.72,331.9,66.72
2018,CALDAS,CUADRICICLO,1.0,72.2,244.2,146.0,,,,1.0,historico,0.3,72.2,73.25999999999999,72.2,73.25999999999999
2018,CUNDINAMARCA,AUTOMOVIL,9.0,65.34444444444445,148.6222222222222,138.33333333333334,,,,9.0,historico,0.3,588.1,401.28,588.1,401.28
